timestamp,wind_speed,wind_dir
2024-08-21 06:10:00,13.7,190
2024-08-21 06:20:00,14.87,198
2024-08-21 06:30:00,13.49,188
2024-08-21 06:40:00,9.56,170
2024-08-21 06:50:00,10.08,159
2024-08-21 07:00:00,12.32,161
2024-08-21 07:10:00,9.22,169
2024-08-21 07:20:00,6.81,158
2024-08-21 07:30:00,5.08,145
2024-08-21 07:40:00,3.83,144
2024-08-21 07:50:00,4.56,147
2024-08-21 08:00:00,4.13,135
2024-08-21 08:10:00,3.49,128
2024-08-21 08:20:00,3.36,166
2024-08-21 08:30:00,4.91,107
2024-08-21 08:40:00,5.68,158
2024-08-21 08:50:00,6.33,140
2024-08-21 09:00:00,4.26,124
2024-08-21 09:10:00,4.05,124
2024-08-21 09:20:00,3.49,96
2024-08-21 09:30:00,3.01,113
2024-08-21 09:40:00,2.15,163
2024-08-21 09:50:00,4.22,180
2024-08-21 10:00:00,5.43,77
2024-08-21 10:10:00,4.05,19
2024-08-21 10:20:00,3.27,31
2024-08-21 10:30:00,3.01,32
2024-08-21 10:40:00,3.36,21
2024-08-21 10:50:00,3.83,41
2024-08-21 11:00:00,4.05,37
2024-08-21 11:10:00,3.49,55
2024-08-21 11:20:00,3.36,83
2024-08-21 11:30:00,3.7,76
2024-08-21 11:40:00,4.13,68
2024-08-21 11:50:00,4.35,43
2024-08-21 12:00:00,3.31,35
2024-08-21 12:10:00,2.54,60
2024-08-21 12:20:00,2.5,76
2024-08-21 12:30:00,3.18,49
2024-08-21 12:40:00,3.18,26
2024-08-21 12:50:00,2.58,26
2024-08-21 13:00:00,2.06,26
